Genus_Species,male_mass,male_mass_n,male_mass_sd,male_logmass_sd,female_mass,female_mass_n,female_mass_sd,female_logmass_sd,male_shoulder_height,female_shoulder_height,female_mean_psl,female_psl_n,Tribe,Genus,n,mean_ant_vol,max_ant_vol,mean_psl,mean_mbl,max_mbl,mean_ant_area,mean_vol_by_area,se_raw_ant_vol,se_raw_psl,se_raw_mbl,log_ant_vol,log_psl,log_mbl,log_ant_area,log_ant_vol_sd,log_psl_sd,log_mbl_sd,log_ant_area_sd,log_psl_var_est,log_vol_var_est,log_mbl_var_est,log_area_var_est,Rudimentary,BGS,Plard_MBL,Plard_MaleMass,Plard_FemaleMass,CB_MBL,CB_Shoulder,male_logmass_se,female_logmass_se,SSD_mass,SSD_psl,SSD_SH,log_ant_vol_se,log_psl_se,log_mbl_se,log_area_se
Alces_alces_alces,409.7317663,2367,33.01526999,0.077251431,340.0210025,3281,19.44825728,0.057719329,175.26,NA,17.56666667,3,Alceini,Alces,14,3.706660286,6.181765,18.80384615,64.02142857,73.2,22.61608571,8.212151451,0.379256382,0.219066033,1.312858996,1.310131279,2.934061432,4.159217849,3.11866141,0.367099753,0.04397504,0.077401213,0.355687513,0.003113181,0.176605899,0.018610058,0.133933445,no,B,144,482.5,365,108,205.7,0.001587842,0.00100767,0.186495329,0.068058265,NA,0.112315213,0.014912079,0.036459428,0.097809379
Alces_alces_americana,407.6096449,535,40.52170776,0.100593638,354.2129457,258,49.32964587,0.133045101,168,NA,18.61666667,6,Alceini,Alces,9,5.750379,11.407019,19.13333333,78.36666667,91.5,36.73612222,7.73126577,0.906485836,0.284312035,4.031301141,1.749265766,2.951432015,4.361398667,3.603760528,0.522775697,0.045647936,0.161737059,0.473110173,0.003537859,0.260066236,0.032887495,0.169017111,no,unknown,NA,NA,NA,NA,NA,0.004349042,0.008283026,0.14041169,0.027374778,NA,0.169988966,0.019826636,0.060449699,0.137038969
Alces_alces_gigas,431.5350877,57,102.0620615,0.232820364,376.800565,177,55.74291652,0.131331745,183.5217391,175.9267442,20.06,5,Alceini,Alces,7,12.53691757,21.60269,20.51428571,93.69285714,103.25,64.37162857,9.342485532,2.059342964,0.465693835,3.568720402,2.528677697,3.021121508,4.540021955,4.164672986,0.544922108,0.061421552,0.108093043,0.353484218,0.004424438,0.268438539,0.027538205,0.135936551,no,unknown,NA,NA,NA,NA,NA,0.030837811,0.009871498,0.135632781,0.022393725,0.042265448,0.19582738,0.025140856,0.062721841,0.139353892
Axis_axis,74.7260375,8,16.55405958,0.22641611,55.5,2,7.778174593,0.140608791,93.345,NA,9.5,1,Cervini,Axis,9,0.725299,1.324216,10.63333333,62.29444444,95.35,6.374444444,5.470395127,0.125560024,0.253174292,6.686352625,-0.321171295,2.363993721,4.131872248,1.852296941,0.517352565,0.070893331,0.313295718,0.401826192,0.004946428,0.257207563,0.069526719,0.147555802,no,C,84.5,89.5,39,93,93.5,0.080050183,0.099425429,0.297445572,0.112701923,NA,0.169052116,0.023443616,0.087893065,0.128043309
Axis_kuhlii,50,1,NA,0.105858446,NA,NA,NA,0.088979503,68.6,NA,NA,NA,Cervini,Axis,1,0.334632,0.334632,10.65,32.65,32.65,3.459,4.835947899,NA,NA,NA,-1.094723858,2.365559892,3.485844856,1.24097953,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,no,A,NA,NA,NA,24.8,68.6,0.105858446,0.088979503,NA,NA,NA,0.496461336,0.069810215,0.199650452,0.3745117
Axis_porcinus,44.28095238,21,9.710485251,0.188381076,31.55625,32,3.286095107,0.099826974,70.91655172,65,8.1,1,Cervini,Axis,16,0.245682313,0.395756,9.075,35.35625,46.85,3.082825,4.100433002,0.02078344,0.137689264,1.827554576,-1.40371599,2.20552338,3.56547518,1.125846384,0.428856457,0.062267533,0.222357029,0.389761725,0.00424321,0.205292684,0.046186721,0.146038658,no,C,39.9,41,31,49.2,68.6,0.041108121,0.017647083,0.338782948,0.113659318,0.087116588,0.113273089,0.016284982,0.05372774,0.095537512
Blastocerus_dichotomus,110,1,NA,0.105858446,70,1,NA,0.088979503,122.5,NA,11,2,Odocoileini,Blastocerus,15,1.3014148,2.102719,12.44666667,47.14333333,53.85,9.021206667,7.157777063,0.099780188,0.163842743,1.173698536,0.26345198,2.521452849,3.853192606,2.199578102,0.278292671,0.051110584,0.100269743,0.237803943,0.003479517,0.137852896,0.020648007,0.10019198,no,B,60,130,100,NA,NA,0.105858446,0.088979503,0.451985124,0.123557577,NA,0.095865495,0.01523049,0.037101669,0.081727996
Capreolus_capreolus,24.15,3,3.279862802,0.13237663,24.12527273,55,2.857102262,0.122927448,67.72,NA,7.375,4,Capreolini,Capreolus,19,0.079641368,0.219508,7.494736842,19.34444444,24.6,1.1498,3.307811533,0.009629829,0.113548218,0.752990826,-2.530221617,2.01420102,2.962405269,0.139588014,0.48497377,0.065186134,0.176914224,0.353060763,0.00445279,0.238603691,0.033868435,0.131809769,no,B,23.35,28,26.5,28.3,69.4,0.076427683,0.016575534,0.001024428,0.016105118,NA,0.11206288,0.015308735,0.042220246,0.083290793
Capreolus_pygargus,41.75,1,NA,0.105858446,39.45,1,NA,0.088979503,83.37,NA,8,3,Capreolini,Capreolus,14,0.227104,0.422398,8.464285714,31.74285714,37.6,2.856178571,4.120281659,0.017323774,0.133366035,1.066766413,-1.482347217,2.135855631,3.457667728,1.049484568,0.246139983,0.05891288,0.132260151,0.26695072,0.004033499,0.130213065,0.025826495,0.108507241,no,B,30.45,42,39.5,NA,NA,0.105858446,0.088979503,0.056665404,0.056414089,NA,0.096441346,0.016973717,0.042950549,0.088037022
Cervus_albirostris,209.1428571,14,23.06512519,0.102217302,130,13,45.96194078,0.296072917,125,NA,13.16960871,NA,Cervini,Cervus,1,3.670559,3.670559,15.15,111.45,111.45,21.9509,8.360841384,NA,NA,NA,1.300343967,2.718000532,4.71357606,3.088808141,0.4502728,0.065298245,0.179084633,0.343161664,0.004873466,0.246473858,0.039860303,0.140259014,no,C,115,204,125,NA,NA,0.027318723,0.082115853,0.475483095,0.140088727,NA,0.496461336,0.069810215,0.199650452,0.3745117
